Iteración,1,2,3,4,5,6,7,8,9,10
1965,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1966,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1967,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1968,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1969,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1970,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1971,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1972,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1973,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1974,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1975,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1976,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1977,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1978,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1979,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1980,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1981,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1982,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
