Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
PESA2,square1,GD,20,0.006502506033317677
PESA2,square1,GD,21,0.009094847688614405
PESA2,square1,GD,22,0.010121365703429905
PESA2,square1,GD,23,0.007514816505726213
PESA2,square1,GD,24,0.009568666926067391
PESA2,square1,GD,25,0.009727581655969146
PESA2,square1,GD,26,0.009278942179971328
PESA2,square1,GD,27,0.00968464655510613
PESA2,square1,GD,28,0.01010611358365724
PESA2,square1,GD,29,0.008441313493354374
PESA2,square2,GD,0,0.0103378763807807
PESA2,square2,GD,1,0.011830876621866042
PESA2,square2,GD,2,0.014580626605767472
PESA2,square2,GD,3,0.01650631544378059
PESA2,square2,GD,4,0.013866249684957399
PESA2,square2,GD,5,0.015047315849495996
PESA2,square2,GD,6,0.010760850072009297
PESA2,square2,GD,7,0.016366571756413918
PESA2,square2,GD,8,0.019233803263848926
PESA2,square2,GD,9,0.020329854109110146
PESA2,square2,GD,10,0.01396548024125001
PESA2,square2,GD,11,0.021266188224718204
PESA2,square2,GD,12,0.014304663610246801
PESA2,square2,GD,13,0.016168888284692484
PESA2,square2,GD,14,0.014534006466548906
PESA2,square2,GD,15,0.01681038608739336
PESA2,square2,GD,16,0.01594623781488697
PESA2,square2,GD,17,0.020614612857557814
PESA2,square2,GD,18,0.0165527845585598
PESA2,square2,GD,19,0.017624995869935798
PESA2,square2,GD,20,0.014651091546143769
PESA2,square2,GD,21,0.01897658123297074
PESA2,square2,GD,22,0.013019822240915604
PESA2,square2,GD,23,0.018092216161558924
PESA2,square2,GD,24,0.01596909447262546
PESA2,square2,GD,25,0.013569328476449245
PESA2,square2,GD,26,0.022483498390678605
PESA2,square2,GD,27,0.010395188237147841
PESA2,square2,GD,28,0.01482554218192293
PESA2,square2,GD,29,0.021143919883432963
PESA2,square3,GD,0,0.007149789436773956
PESA2,square3,GD,1,0.009456096303123007
PESA2,square3,GD,2,0.009314915815446394
PESA2,square3,GD,3,0.01172490966739469
PESA2,square3,GD,4,0.009635520097566427
PESA2,square3,GD,5,0.009539996310734912
PESA2,square3,GD,6,0.008954698032210698
PESA2,square3,GD,7,0.009276591100522232
PESA2,square3,GD,8,0.009981302570476597
PESA2,square3,GD,9,0.008973588008255535
PESA2,square3,GD,10,0.009045434106181447
PESA2,square3,GD,11,0.00954007306355883
PESA2,square3,GD,12,0.007977250001431421
PESA2,square3,GD,13,0.012271093993229227
PESA2,square3,GD,14,0.01110048212391031
PESA2,square3,GD,15,0.008240183643074083
PESA2,square3,GD,16,0.009108745119669723
PESA2,square3,GD,17,0.007347346982602921
PESA2,square3,GD,18,0.005265632412955876
PESA2,square3,GD,19,0.008674275412556267
PESA2,square3,GD,20,0.006027734840058414
PESA2,square3,GD,21,0.008553905909074644
PESA2,square3,GD,22,0.00871890293686278
PESA2,square3,GD,23,0.011521434974868447
PESA2,square3,GD,24,0.00883565206190049
PESA2,square3,GD,25,0.008000968172139338
PESA2,square3,GD,26,0.006704161031633397
PESA2,square3,GD,27,0.010651503863088501
PESA2,square3,GD,28,0.008013469167883081
PESA2,square3,GD,29,0.006903684509601787
PESA2,square4,GD,0,0.01593387888553782
PESA2,square4,GD,1,0.008241990742960456
PESA2,square4,GD,2,0.008714953770403244
PESA2,square4,GD,3,0.007954727508455675
PESA2,square4,GD,4,0.01006532246530612
PESA2,square4,GD,5,0.013305451598485264
PESA2,square4,GD,6,0.013428258142395115
PESA2,square4,GD,7,0.009750526355283194
PESA2,square4,GD,8,0.008623436119871543
PESA2,square4,GD,9,0.009215091351949567
PESA2,square4,GD,10,0.010777217142445
PESA2,square4,GD,11,0.015346868603917364
PESA2,square4,GD,12,0.012129990264097373
PESA2,square4,GD,13,0.009710021596943563
PESA2,square4,GD,14,0.009794455830037855
PESA2,square4,GD,15,0.009669088120982366
PESA2,square4,GD,16,0.010033429602270771
PESA2,square4,GD,17,0.010435260605243848
PESA2,square4,GD,18,0.011262213849470244
PESA2,square4,GD,19,0.009334083746082182
PESA2,square4,GD,20,0.009879432926426948
PESA2,square4,GD,21,0.010939313508260235
PESA2,square4,GD,22,0.00868929613108905
PESA2,square4,GD,23,0.012064836144247111
PESA2,square4,GD,24,0.013384382848976806
PESA2,square4,GD,25,0.009231152715678101
PESA2,square4,GD,26,0.010822283125091816
PESA2,square4,GD,27,0.012196390829238004
PESA2,square4,GD,28,0.014416180185597347
PESA2,square4,GD,29,0.008477989191304354
NGSAII,square1,HV,0,0.6465145727852809
NGSAII,square1,HV,1,0.6337546177619636
NGSAII,square1,HV,2,0.6473392870047995
NGSAII,square1,HV,3,0.5870216976359609
NGSAII,square1,HV,4,0.5991118380499336
NGSAII,square1,HV,5,0.6159932386187311
NGSAII,square1,HV,6,0.5957003269099148
NGSAII,square1,HV,7,0.6241234754477476
NGSAII,square1,HV,8,0.6480277001951257
NGSAII,square1,HV,9,0.5961591804721276
NGSAII,square1,HV,10,0.5941143993402286
NGSAII,square1,HV,11,0.5963866145481289
NGSAII,square1,HV,12,0.6456869359316082
NGSAII,square1,HV,13,0.6516538920984726
NGSAII,square1,HV,14,0.6542986103140292
NGSAII,square1,HV,15,0.6444724485935222
NGSAII,square1,HV,16,0.5879835099667138
NGSAII,square1,HV,17,0.5817203049742171
NGSAII,square1,HV,18,0.5902615704429226
NGSAII,square1,HV,19,0.6015514404866663
NGSAII,square1,HV,20,0.5963725327653858
NGSAII,square1,HV,21,0.59033277643868
NGSAII,square1,HV,22,0.5846057419664757
NGSAII,square1,HV,23,0.5915642681936633
NGSAII,square1,HV,24,0.5781847147296512
NGSAII,square1,HV,25,0.5910227837930903
NGSAII,square1,HV,26,0.6104707885373226
NGSAII,square1,HV,27,0.5783101223042686
NGSAII,square1,HV,28,0.5869852975560401
NGSAII,square1,HV,29,0.5869544770504138
NGSAII,square2,HV,0,0.5540980997736704
NGSAII,square2,HV,1,0.5619621722934742
NGSAII,square2,HV,2,0.5573736915314975
NGSAII,square2,HV,3,0.5512350881742738
NGSAII,square2,HV,4,0.5689627734817051
NGSAII,square2,HV,5,0.5839747972463221
NGSAII,square2,HV,6,0.5616733661825727
NGSAII,square2,HV,7,0.5615584331384383
NGSAII,square2,HV,8,0.550169747265183
NGSAII,square2,HV,9,0.5587514145605432
NGSAII,square2,HV,10,0.5413950513956998
NGSAII,square2,HV,11,0.580749304507733
NGSAII,square2,HV,12,0.5821948085628066
NGSAII,square2,HV,13,0.5504482388721238
NGSAII,square2,HV,14,0.5680713056393815
NGSAII,square2,HV,15,0.6070748656167484
NGSAII,square2,HV,16,0.5531565329121086
NGSAII,square2,HV,17,0.5380369436061863
NGSAII,square2,HV,18,0.5654057431158054
NGSAII,square2,HV,19,0.5774457162391551
NGSAII,square2,HV,20,0.5785832586759714
NGSAII,square2,HV,21,0.5465287273670314
NGSAII,square2,HV,22,0.5505160198981516
NGSAII,square2,HV,23,0.5397123137495285
NGSAII,square2,HV,24,0.5651272515088646
NGSAII,square2,HV,25,0.5576433421350434
NGSAII,square2,HV,26,0.5689023599585064
NGSAII,square2,HV,27,0.5606036047717843
NGSAII,square2,HV,28,0.5780675334779329
NGSAII,square2,HV,29,0.5757128795737458
NGSAII,square3,HV,0,0.5616586515927029
NGSAII,square3,HV,1,0.5748102864803045
NGSAII,square3,HV,2,0.5946935874721114
NGSAII,square3,HV,3,0.5862393835423815
NGSAII,square3,HV,4,0.5853341723381518
NGSAII,square3,HV,5,0.6092988333614564
NGSAII,square3,HV,6,0.6475983487072764
NGSAII,square3,HV,7,0.5689961354219397
NGSAII,square3,HV,8,0.6107322309091249
NGSAII,square3,HV,9,0.6225547579541407
NGSAII,square3,HV,10,0.5642105269325234
NGSAII,square3,HV,11,0.5786722280030748
NGSAII,square3,HV,12,0.5709632853366332
NGSAII,square3,HV,13,0.5758742758310367
NGSAII,square3,HV,14,0.5872207613851548
NGSAII,square3,HV,15,0.6160606731724694
NGSAII,square3,HV,16,0.603535655361194
NGSAII,square3,HV,17,0.5696983332395898
NGSAII,square3,HV,18,0.6035075322946547
NGSAII,square3,HV,19,0.5742683315522057
NGSAII,square3,HV,20,0.5791037413052853
NGSAII,square3,HV,21,0.5667046913962165
NGSAII,square3,HV,22,0.5895236304066596
NGSAII,square3,HV,23,0.5787504452818868
NGSAII,square3,HV,24,0.5949455232765248
NGSAII,square3,HV,25,0.5819974876727226
NGSAII,square3,HV,26,0.622685120085494
NGSAII,square3,HV,27,0.5586152084856666
NGSAII,square3,HV,28,0.5749172127228753
NGSAII,square3,HV,29,0.574230248232934
NGSAII,square4,HV,0,0.6166700755315037
NGSAII,square4,HV,1,0.6022832688443167
NGSAII,square4,HV,2,0.5525607839718529
NGSAII,square4,HV,3,0.6239136338946226
NGSAII,square4,HV,4,0.5907043050051078
NGSAII,square4,HV,5,0.619465065282556
NGSAII,square4,HV,6,0.6152347199030765
NGSAII,square4,HV,7,0.5546784713979476
NGSAII,square4,HV,8,0.6059318718803299
NGSAII,square4,HV,9,0.5227787613191078
NGSAII,square4,HV,10,0.6156032684866654
NGSAII,square4,HV,11,0.5601080666036307
NGSAII,square4,HV,12,0.576232276697
NGSAII,square4,HV,13,0.6111502292321896
NGSAII,square4,HV,14,0.5501759756618226
NGSAII,square4,HV,15,0.5843554339540822
NGSAII,square4,HV,16,0.612075372795694
NGSAII,square4,HV,17,0.5480814796932246
NGSAII,square4,HV,18,0.5731156801076531
NGSAII,square4,HV,19,0.6270131861597853
NGSAII,square4,HV,20,0.5447354832652678
NGSAII,square4,HV,21,0.5423584985794534
NGSAII,square4,HV,22,0.5922922213057407
NGSAII,square4,HV,23,0.5904380223666239
NGSAII,square4,HV,24,0.5477690935548986
NGSAII,square4,HV,25,0.5523283105665869
NGSAII,square4,HV,26,0.6007660445767755
NGSAII,square4,HV,27,0.5903528007457033
NGSAII,square4,HV,28,0.5478520798546147
NGSAII,square4,HV,29,0.570667444558446
PESA2,square1,HV,0,0.5747708123435061
PESA2,square1,HV,1,0.618722447530746
PESA2,square1,HV,2,0.6065871391343901
PESA2,square1,HV,3,0.6322741707158435
PESA2,square1,HV,4,0.5834433306551376
PESA2,square1,HV,5,0.6105470427193461
PESA2,square1,HV,6,0.6131080673204865
PESA2,square1,HV,7,0.5872842033218129
PESA2,square1,HV,8,0.5892155331097252
PESA2,square1,HV,9,0.599501079780473
PESA2,square1,HV,10,0.5833022471336929
PESA2,square1,HV,11,0.6247436052764705
PESA2,square1,HV,12,0.5945113461971747
PESA2,square1,HV,13,0.5790981707498523
PESA2,square1,HV,14,0.5810980495933818
PESA2,square1,HV,15,0.5936199427801371
